date,name,Total,Domestic,International,Total_OS
2010-01-01,Albania,,,,117.35
2010-02-01,Albania,,,,86.535
2010-03-01,Albania,,,,103.795
2010-04-01,Albania,,,,102.038
2010-05-01,Albania,,,,109.037
2010-06-01,Albania,,,,126.159
2010-07-01,Albania,,,,181.095
2010-08-01,Albania,,,,226.824
2010-09-01,Albania,,,,148.392
2010-10-01,Albania,,,,110.346
2010-11-01,Albania,,,,93.342
2010-12-01,Albania,,,,131.909
2011-01-01,Albania,,,,135.743
2011-02-01,Albania,,,,101.417
2011-03-01,Albania,,,,128.551
2011-04-01,Albania,,,,141.269
2011-05-01,Albania,,,,136.785
2011-06-01,Albania,,,,150.219
2011-07-01,Albania,,,,199.495
2011-08-01,Albania,,,,234.296
2011-09-01,Albania,,,,174.046
2011-10-01,Albania,,,,142.567
2011-11-01,Albania,,,,124.214
2011-12-01,Albania,,,,148.471
2012-01-01,Albania,,,,144.599
2012-02-01,Albania,,,,97.871
2012-03-01,Albania,,,,118.722
2012-04-01,Albania,,,,127.083
2012-05-01,Albania,,,,122.242
2012-06-01,Albania,,,,137.492
2012-07-01,Albania,,,,174.767
2012-08-01,Albania,,,,200.973
2012-09-01,Albania,,,,153.348
2012-10-01,Albania,,,,130.603
2012-11-01,Albania,,,,121.274
2012-12-01,Albania,,,,136.357
2013-01-01,Albania,,,,126.844
2013-02-01,Albania,,,,101.829
2013-03-01,Albania,,,,128.941
2013-04-01,Albania,,,,125.627
2013-05-01,Albania,,,,133.094
2013-06-01,Albania,,,,150.111
2013-07-01,Albania,,,,190.259
2013-08-01,Albania,,,,216.834
2013-09-01,Albania,,,,172.452
2013-10-01,Albania,,,,147.855
2013-11-01,Albania,,,,120.15
2013-12-01,Albania,,,,143.346
2014-01-01,Albania,,,,143.816
2014-02-01,Albania,,,,109.584
2014-03-01,Albania,,,,132.521
2014-04-01,Albania,,,,137.687
2014-05-01,Albania,,,,141.343
2014-06-01,Albania,,,,153.692
2014-07-01,Albania,,,,186.278
2014-08-01,Albania,,,,212.567
2014-09-01,Albania,,,,173.358
2014-10-01,Albania,,,,150.81
2014-11-01,Albania,,,,127.68
2014-12-01,Albania,,,,140.969
2015-01-01,Albania,,,,135.863
2015-02-01,Albania,,,,111.018
2015-03-01,Albania,,,,138.878
2015-04-01,Albania,,,,150.029
2015-05-01,Albania,,,,157.779
2015-06-01,Albania,,,,173.449
2015-07-01,Albania,,,,213.546
2015-08-01,Albania,,,,237.808
2015-09-01,Albania,,,,193.7
2015-10-01,Albania,,,,167.372
2015-11-01,Albania,,,,140.165
2015-12-01,Albania,,,,157.437
2016-01-01,Albania,,,,149.063
2016-02-01,Albania,,,,127.095
2016-03-01,Albania,,,,147.463
2016-04-01,Albania,,,,148.33
2016-05-01,Albania,,,,162.017
2016-06-01,Albania,,,,181.574
2016-07-01,Albania,,,,223.442
2016-08-01,Albania,,,,258.959
2016-09-01,Albania,,,,214.726
2016-10-01,Albania,,,,200.303
2016-11-01,Albania,,,,175.763
2016-12-01,Albania,,,,206.365
2017-01-01,Albania,,,,191.759
2017-02-01,Albania,,,,140.368
2017-03-01,Albania,,,,175.914
2017-04-01,Albania,,,,189.763
2017-05-01,Albania,,,,192.938
2017-06-01,Albania,,,,229.584
2017-07-01,Albania,,,,293.064
2017-08-01,Albania,,,,328.317
2017-09-01,Albania,,,,267.104
2017-10-01,Albania,,,,216.022
2017-11-01,Albania,,,,186.164
2017-12-01,Albania,,,,219.341
2014-01-01,United Arab Emirates,,,,8769.155
2014-02-01,United Arab Emirates,,,,7778.523
2014-03-01,United Arab Emirates,,,,8629.734
2014-04-01,United Arab Emirates,,,,8541.271
2014-05-01,United Arab Emirates,,,,7647.589
2014-06-01,United Arab Emirates,,,,7648.147
2014-07-01,United Arab Emirates,,,,7653.026
2014-08-01,United Arab Emirates,,,,9409.965
2014-09-01,United Arab Emirates,,,,8411.89
2014-10-01,United Arab Emirates,,,,8440.697
2014-11-01,United Arab Emirates,,,,7797.602
2014-12-01,United Arab Emirates,,,,9129.764
2015-01-01,United Arab Emirates,,,,9619.214
2015-02-01,United Arab Emirates,,,,8420.037
2015-03-01,United Arab Emirates,,,,9481.487
2015-04-01,United Arab Emirates,,,,9190.248
2015-05-01,United Arab Emirates,,,,8955.788
2015-06-01,United Arab Emirates,,,,8538.044
2015-07-01,United Arab Emirates,,,,9620.921
2015-08-01,United Arab Emirates,,,,10465.962
2015-09-01,United Arab Emirates,,,,9324.008
2015-10-01,United Arab Emirates,,,,9031.53
2015-11-01,United Arab Emirates,,,,8613.162
2015-12-01,United Arab Emirates,,,,10081.008
2016-01-01,United Arab Emirates,,,,10411.417
2016-02-01,United Arab Emirates,,,,9078.376
2016-03-01,United Arab Emirates,,,,10190.089
2016-04-01,United Arab Emirates,,,,9854.315
2016-05-01,United Arab Emirates,,,,9628.362
2016-06-01,United Arab Emirates,,,,8540.116
2016-07-01,United Arab Emirates,,,,10843.967
2016-08-01,United Arab Emirates,,,,11075.807
2016-09-01,United Arab Emirates,,,,10195.658
2016-10-01,United Arab Emirates,,,,9197.659
2016-11-01,United Arab Emirates,,,,9324.073
2016-12-01,United Arab Emirates,,,,10843.978
2017-01-01,United Arab Emirates,,,,11216.156
2017-02-01,United Arab Emirates,,,,9686.152
2017-03-01,United Arab Emirates,,,,10488.111
2017-04-01,United Arab Emirates,,,,10660.273
2017-05-01,United Arab Emirates,,,,9741.994
2017-06-01,United Arab Emirates,,,,8683.602
2017-07-01,United Arab Emirates,,,,11242.519
2017-08-01,United Arab Emirates,,,,11502.817
2017-09-01,United Arab Emirates,,,,10055.124
2017-10-01,United Arab Emirates,,,,9438.491
2017-11-01,United Arab Emirates,,,,7857.422
2017-12-01,United Arab Emirates,,,,8835.494
2017-01-01,Argentina,,,,3386.517
2017-02-01,Argentina,,,,3065.808
2017-03-01,Argentina,,,,3129.119
2017-04-01,Argentina,,,,2797.697
2017-05-01,Argentina,,,,2768.468
2017-06-01,Argentina,,,,2573.685
2011-01-01,Armenia,,,,108.9950397
2011-03-01,Armenia,,,,97.306
2011-04-01,Armenia,,,,112.474
2011-05-01,Armenia,,,,122.956
2011-06-01,Armenia,,,,143.098
2011-07-01,Armenia,,,,182.039
2011-08-01,Armenia,,,,198.969
2011-09-01,Armenia,,,,155.375
2011-10-01,Armenia,,,,141.707
2011-11-01,Armenia,,,,123.086
2011-12-01,Armenia,,,,126.143
2012-01-01,Armenia,,,,109.867
2012-02-01,Armenia,,,,91.013
2012-03-01,Armenia,,,,102.01
2012-04-01,Armenia,,,,126.595
2012-05-01,Armenia,,,,133.009
2012-06-01,Armenia,,,,153.839
2012-07-01,Armenia,,,,186.649
2012-08-01,Armenia,,,,205.444
2012-09-01,Armenia,,,,162.852
2012-10-01,Armenia,,,,150.588
2012-11-01,Armenia,,,,129.786
2012-12-01,Armenia,,,,136.383
2013-01-01,Armenia,,,,112.382
2013-02-01,Armenia,,,,91.17
2013-03-01,Armenia,,,,102.915
2013-04-01,Armenia,,,,116.846
2013-05-01,Armenia,,,,125.114
2013-06-01,Armenia,,,,145.066
2013-07-01,Armenia,,,,179.581
2013-08-01,Armenia,,,,197.731
2013-09-01,Armenia,,,,169.613
2013-10-01,Armenia,,,,162.383
2013-11-01,Armenia,,,,135.59
2013-12-01,Armenia,,,,153.319
2014-01-01,Armenia,,,,128.986
2014-02-01,Armenia,,,,100.356
2014-03-01,Armenia,,,,121.958
2014-04-01,Armenia,,,,136.73
2014-05-01,Armenia,,,,171.431
2014-06-01,Armenia,,,,208.408
2014-07-01,Armenia,,,,242.098
2014-08-01,Armenia,,,,265.54
2014-09-01,Armenia,,,,197.602
2014-10-01,Armenia,,,,179.602
2014-11-01,Armenia,,,,144.096
2014-12-01,Armenia,,,,148.251
2015-01-01,Armenia,,,,131.916
2015-02-01,Armenia,,,,99.275
2015-03-01,Armenia,,,,117.288
2015-04-01,Armenia,,,,144.4
2015-05-01,Armenia,,,,158.292
2015-06-01,Armenia,,,,176.791
2015-07-01,Armenia,,,,212.999
2015-08-01,Armenia,,,,227.607
2015-09-01,Armenia,,,,171.659
2015-10-01,Armenia,,,,155.611
2015-11-01,Armenia,,,,130.707
2015-12-01,Armenia,,,,153.122
2016-01-01,Armenia,,,,137.303
2016-02-01,Armenia,,,,113.729
2016-03-01,Armenia,,,,133.666
2016-04-01,Armenia,,,,131.829
2016-05-01,Armenia,,,,147.319
2016-06-01,Armenia,,,,175.276
2016-07-01,Armenia,,,,227.41
2016-08-01,Armenia,,,,255.252
2016-09-01,Armenia,,,,220.716
2016-10-01,Armenia,,,,205.426
2016-11-01,Armenia,,,,168.596
2016-12-01,Armenia,,,,189.018
2017-01-01,Armenia,,,,168.741
2017-02-01,Armenia,,,,132.039
2017-03-01,Armenia,,,,165.512
2017-04-01,Armenia,,,,183.108
2017-05-01,Armenia,,,,198.182
2017-06-01,Armenia,,,,211.252
2017-07-01,Armenia,,,,270.751
2017-08-01,Armenia,,,,281.345
2017-09-01,Armenia,,,,245.364
2017-10-01,Armenia,,,,220.726
2017-11-01,Armenia,,,,178.748
2017-12-01,Armenia,,,,192.482
2010-01-01,Australia,6568.0,4085.0,2483.0,
2010-02-01,Australia,5941.0,3911.0,2030.0,
2010-03-01,Australia,6554.0,4408.0,2146.0,
2010-04-01,Australia,6415.0,4352.0,2063.0,
2010-05-01,Australia,6040.0,4153.0,1886.0,
2010-06-01,Australia,6254.0,4158.0,2096.0,
2010-07-01,Australia,7034.0,4633.0,2401.0,
2010-08-01,Australia,6733.0,4519.0,2214.0,
2010-09-01,Australia,6930.0,4613.0,2316.0,
2010-10-01,Australia,7205.0,4832.0,2373.0,
2010-11-01,Australia,6804.0,4598.0,2206.0,
2010-12-01,Australia,7269.0,4692.0,2577.0,
