employee_id,work_life_balance,career_growth,salary_benefits,job_security,work_environment,team_collaboration,training_development,management_support,autonomy_control,recognition_rewards,technology_tools,company_culture,age,department,experience_years,education_level,true_cluster
EMP001,4,5,5,3,4,5,7,4,4,6,7,5,32,IT,4,3,Career_Growth
EMP002,4,6,5,4,3,5,7,4,5,6,7,5,25,Marketing,8,3,Career_Growth
EMP003,4,7,6,3,5,6,6,5,4,6,5,5,28,Marketing,2,4,Career_Growth
EMP004,4,6,4,3,3,4,7,5,4,6,6,5,26,IT,1,3,Career_Growth
EMP005,3,6,5,3,4,5,5,3,3,5,6,5,36,IT,3,4,Career_Growth
EMP006,4,7,5,5,4,6,7,5,3,7,5,5,27,IT,4,3,Career_Growth
EMP007,4,7,5,4,3,6,6,4,4,6,6,5,27,IT,4,3,Career_Growth
EMP008,4,6,5,5,4,5,6,4,4,6,6,5,34,Sales,3,3,Career_Growth
EMP009,4,6,5,3,5,5,6,4,4,6,6,4,37,IT,4,4,Career_Growth
EMP010,3,6,5,4,4,5,7,4,5,6,6,5,34,Marketing,8,3,Career_Growth
EMP011,4,6,5,3,3,5,5,4,5,6,6,5,26,Sales,1,3,Career_Growth
EMP012,3,7,5,4,4,5,6,4,5,7,6,5,27,IT,2,4,Career_Growth
EMP013,4,7,5,4,4,5,7,4,4,7,6,6,25,Sales,8,3,Career_Growth
EMP014,4,6,4,4,5,6,6,3,5,6,5,5,27,Marketing,1,4,Career_Growth
EMP015,4,6,5,4,4,5,6,4,5,6,7,5,27,Marketing,5,3,Career_Growth
EMP016,4,6,5,4,3,5,5,4,3,6,6,5,31,IT,7,3,Career_Growth
EMP017,4,5,5,4,4,6,6,3,5,7,5,6,25,IT,3,3,Career_Growth
EMP018,4,7,4,3,5,5,6,4,3,7,7,6,30,IT,3,3,Career_Growth
EMP019,3,6,5,4,5,5,7,3,3,7,5,5,35,Marketing,6,3,Career_Growth
EMP020,6,6,5,3,4,4,5,4,4,6,6,4,35,IT,1,3,Career_Growth
EMP021,4,6,5,5,5,6,6,5,4,7,6,5,35,Sales,2,3,Career_Growth
EMP022,4,7,5,4,3,6,7,4,4,6,7,6,26,IT,6,3,Career_Growth
EMP023,4,5,5,4,4,5,5,4,4,5,6,6,28,IT,1,4,Career_Growth
EMP024,4,7,6,3,5,6,6,4,3,6,6,5,36,Marketing,5,3,Career_Growth
EMP025,3,5,5,4,4,6,6,4,3,6,6,6,30,Marketing,7,4,Career_Growth
EMP026,5,7,5,3,4,4,7,5,6,7,6,5,26,Sales,5,3,Career_Growth
EMP027,4,5,5,4,5,6,6,4,4,6,6,6,27,IT,4,3,Career_Growth
EMP028,4,6,5,5,4,5,6,4,4,7,6,5,32,IT,7,3,Career_Growth
EMP029,4,7,4,5,4,5,6,4,3,5,6,4,33,IT,9,3,Career_Growth
EMP030,3,6,5,4,4,4,6,4,4,6,7,5,28,IT,9,3,Career_Growth
EMP031,4,6,6,4,5,5,6,4,4,6,5,5,29,IT,2,3,Career_Growth
EMP032,4,5,5,5,5,5,6,3,4,5,6,4,35,IT,9,3,Career_Growth
EMP033,5,7,5,4,4,5,5,5,5,6,6,5,33,IT,3,4,Career_Growth
EMP034,5,7,6,5,4,5,6,4,4,6,6,6,29,IT,5,4,Career_Growth
EMP035,3,7,5,4,4,5,7,5,3,6,6,5,26,Marketing,6,4,Career_Growth
EMP036,4,5,5,4,4,5,6,5,4,6,6,4,36,Marketing,3,4,Career_Growth
EMP037,3,7,5,4,4,5,5,5,4,5,6,5,33,Sales,1,3,Career_Growth
EMP038,4,7,5,5,4,6,6,5,5,6,7,5,37,IT,2,4,Career_Growth
EMP039,4,6,4,4,3,4,6,4,3,5,6,5,36,Marketing,4,3,Career_Growth
EMP040,4,7,5,4,4,5,6,4,4,6,7,5,26,Marketing,9,4,Career_Growth
EMP041,3,6,5,4,4,5,6,3,3,6,6,5,28,Marketing,6,3,Career_Growth
EMP042,3,5,5,5,4,5,6,5,5,6,7,6,34,IT,1,3,Career_Growth
EMP043,4,7,6,4,4,5,6,3,4,6,5,5,33,Sales,1,4,Career_Growth
EMP044,4,6,5,3,3,3,7,4,3,6,5,5,25,IT,4,4,Career_Growth
EMP045,4,6,5,4,4,6,6,3,5,4,6,5,34,Marketing,6,3,Career_Growth
EMP046,3,7,4,5,3,6,6,4,4,5,6,5,31,IT,2,4,Career_Growth
EMP047,4,6,5,3,4,5,7,3,4,6,5,6,33,IT,8,4,Career_Growth
EMP048,4,5,4,3,4,5,7,5,4,6,6,4,25,Sales,9,3,Career_Growth
EMP049,3,5,4,4,4,4,7,3,5,6,7,4,36,Sales,9,3,Career_Growth
EMP050,4,7,6,3,4,5,6,4,4,6,6,5,33,IT,5,3,Career_Growth
EMP051,3,5,5,4,3,6,5,4,4,6,6,4,32,Marketing,6,4,Career_Growth
EMP052,4,6,5,4,4,4,6,5,3,7,6,5,37,IT,2,3,Career_Growth
EMP053,3,7,5,4,4,5,6,3,5,6,6,5,37,Marketing,4,4,Career_Growth
EMP054,3,5,4,4,4,5,7,4,4,6,6,5,37,IT,7,3,Career_Growth
EMP055,4,6,5,4,4,5,6,4,4,6,6,5,32,IT,3,4,Career_Growth
EMP056,3,7,5,5,3,4,6,4,4,6,6,4,37,IT,4,3,Career_Growth
EMP057,4,6,5,5,4,5,7,4,4,6,6,6,28,Marketing,9,3,Career_Growth
EMP058,3,6,5,4,4,5,5,4,4,5,6,4,35,IT,1,4,Career_Growth
EMP059,4,6,5,4,4,6,6,4,5,6,6,5,30,IT,8,3,Career_Growth
EMP060,4,6,6,4,4,5,7,4,3,7,6,5,28,Sales,9,3,Career_Growth
EMP061,3,6,4,5,4,6,6,4,4,6,6,4,27,Marketing,4,4,Career_Growth
EMP062,3,6,5,4,4,5,6,4,4,5,6,5,36,Sales,8,4,Career_Growth
EMP063,3,6,6,4,3,5,6,4,3,6,6,4,25,IT,9,4,Career_Growth
EMP064,3,7,4,4,3,5,6,4,4,5,6,5,31,Marketing,6,3,Career_Growth
EMP065,4,7,5,4,4,5,6,4,4,6,6,4,37,IT,8,3,Career_Growth
