DATE,GDP,FPI,GCE,NETEXP,UMCSENT,GFDEBTN,PCE,UNRATE
1980-01-01,2789.842,544.663,568.781,-35.803,67.0,863451.0,1708.2,6.3
1980-04-01,2797.352,511.544,588.547,-15.211,52.7,877614.0,1718.8,7.6
1980-07-01,2856.483,528.927,592.169,5.471,62.3,907701.0,1780.5,7.5
1980-10-01,2985.557,560.59,608.893,-6.682,75.0,930210.0,1851.7,7.2
1981-01-01,3124.206,580.626,633.35,-14.259,71.4,964531.0,1902.9,7.4
1981-04-01,3162.532,598.129,648.673,-13.508,72.4,971174.0,1934.5,7.5
1981-07-01,3260.609,608.337,657.774,-7.561,74.1,997855.0,1965.5,7.6
1981-10-01,3280.818,618.589,677.727,-14.75,70.3,1028729.0,1988.8,8.5
1982-01-01,3274.302,609.784,688.104,-16.276,71.0,1061299.0,2024.1,9.0
1982-04-01,3331.972,597.786,703.093,-4.386,65.5,1079630.0,2048.1,9.6
1982-07-01,3366.322,587.157,717.344,-29.647,65.4,1142035.0,2104.6,10.1
1982-10-01,3402.561,589.062,737.351,-29.587,73.4,1197074.0,2161.6,10.8
1983-01-01,3473.413,600.58,747.852,-24.548,70.4,1244493.0,2202.8,10.3
1983-04-01,3578.848,621.454,761.061,-45.434,89.1,1319581.0,2276.0,10.1
1983-07-01,3689.179,656.472,782.216,-65.2,92.8,1377211.0,2334.9,9.2
1983-10-01,3794.706,694.564,775.099,-71.385,89.3,1410702.0,2393.6,8.3
1984-01-01,3908.054,717.89,794.021,-95.004,100.1,1463741.0,2431.6,7.8
1984-04-01,4009.601,749.573,819.132,-104.301,96.1,1512697.0,2495.6,7.2
1984-07-01,4084.25,767.514,835.72,-103.847,96.6,1572267.0,2533.8,7.3
1984-10-01,4148.551,783.762,862.769,-107.756,96.3,1662966.0,2582.6,7.3
1985-01-01,4230.168,793.636,875.592,-91.298,96.0,1710731.0,2648.5,7.2
1985-04-01,4294.887,805.394,900.527,-114.445,94.6,1774640.0,2689.4,7.4
1985-07-01,4386.773,805.854,927.363,-116.895,94.0,1823103.0,2794.7,7.1
1985-10-01,4444.094,826.426,938.584,-133.434,88.4,1945942.0,2811.3,7.0
1986-01-01,4507.894,833.06,946.803,-126.014,95.6,1986816.0,2823.6,7.2
1986-04-01,4545.34,839.574,967.519,-128.872,96.2,2059349.0,2861.7,7.2
1986-07-01,4607.669,842.851,993.597,-138.961,97.7,2125304.0,2971.8,7.0
1986-10-01,4657.627,854.822,996.385,-133.629,95.6,2214835.0,2997.1,6.6
1987-01-01,4722.156,843.222,1008.681,-141.234,90.4,2246724.0,3013.3,6.6
1987-04-01,4806.16,858.064,1025.219,-146.977,92.8,2309296.0,3072.8,6.2
1987-07-01,4884.555,875.449,1036.195,-145.464,93.7,2350277.0,3126.5,5.9
1987-10-01,5007.994,883.376,1056.024,-145.405,89.3,2431715.0,3174.1,5.7
1988-01-01,5073.372,891.613,1056.893,-123.987,90.8,2487551.0,3260.5,5.7
1988-04-01,5190.036,914.877,1070.421,-106.627,91.2,2547656.0,3318.5,5.4
1988-07-01,5282.835,923.828,1078.19,-99.263,93.4,2602183.0,3375.0,5.4
1988-10-01,5399.509,943.605,1109.916,-107.694,94.1,2684392.0,3459.7,5.3
1989-01-01,5511.253,957.35,1116.559,-100.965,97.9,2740898.0,3498.8,5.0
1989-04-01,5612.463,964.79,1145.809,-88.16,91.5,2799923.0,3566.6,5.3
1989-07-01,5695.365,986.635,1164.58,-75.075,92.0,2857431.0,3621.9,5.3
1989-10-01,5747.237,979.257,1180.5,-82.765,93.9,2952994.0,3684.2,5.4
1990-01-01,5872.701,996.884,1212.45,-88.536,93.0,3051958.0,3754.9,5.2
1990-04-01,5960.028,981.02,1230.721,-68.833,93.9,3143754.0,3804.5,5.2
1990-07-01,6015.116,978.919,1242.584,-74.953,88.2,3233313.0,3870.1,5.9
1990-10-01,6004.733,958.787,1268.467,-79.096,63.9,3364820.0,3861.3,6.3
1991-01-01,6035.178,940.088,1284.187,-47.14,66.8,3465189.0,3913.0,6.8
1991-04-01,6126.862,944.575,1296.577,-23.188,81.8,3537988.0,3940.5,6.9
1991-07-01,6205.937,946.633,1306.265,-21.074,82.9,3665303.0,3984.7,6.9
