source,target,project_type
Lisa,Claudia,training
Lisa,Sean,internal
Lisa,Sherry,client
Lisa,Kristi,training
Lisa,Christopher,client
Lisa,Jamie,training
Valerie,Denise,internal
Valerie,Jake,internal
Valerie,Andre,internal
David,Darrell,training
David,Amanda,training
David,Scott,training
David,Kristi,training
David,Dawn,internal
David,Bradley,training
David,Mark,internal
David,Sabrina,internal
David,Bridget,internal
David,Steven,client
Michael,Michelle,training
Jake,Charles,client
Jake,Jennifer,internal
Jake,Claudia,training
Jake,Wendy,internal
Jake,William,client
Jake,Edward,client
Jake,Eugene,training
Elizabeth,John,internal
Elizabeth,Bradley,client
Elizabeth,Joy,internal
Elizabeth,William,training
Elizabeth,Danielle,internal
Michelle,Darrell,training
Steven,Sean,client
Steven,Christopher,internal
Steven,Wendy,internal
Steven,Patricia,internal
Andre,Christopher,client
Bradley,Edward,client
Bradley,Amanda,training
Bradley,Patricia,client
Bradley,Sherri,internal
Bradley,Dawn,client
Bradley,Darrell,internal
Katrina,Danielle,training
Katrina,Eugene,training
William,Amanda,client
William,Sherri,client
William,Joy,training
William,Diane,client
William,Marie,internal
William,Kristi,internal
William,Maria,client
Mark,Julie,client
Mark,Katherine,internal
Christine,Joy,internal
Christine,Erika,training
Christine,Katherine,client
Christine,Maria,client
Christine,Patricia,client
Claudia,Dawn,client
Claudia,Eugene,training
Claudia,Alejandro,internal
Claudia,Kristi,training
Claudia,Danielle,client
Claudia,Jennifer,training
Claudia,Erika,internal
Claudia,Katie,client
Sherry,Sabrina,internal
Sherry,Eugene,client
Sherry,Joy,client
Courtney,Scott,client
Courtney,Darrell,internal
Courtney,Amanda,client
Katie,Katherine,training
Katie,Bridget,client
Katie,Christopher,client
Edward,Patricia,internal
Edward,John,training
Edward,Katherine,internal
Dillon,Erika,training
Dillon,Jamie,internal
Dillon,Scott,client
Wendy,Charles,training
Wendy,Julie,training
Wendy,Patricia,internal
Diane,Julie,training
Diane,Christopher,internal
Jennifer,Alexis,training
Jennifer,Dawn,training
Alexis,Marie,training
Denise,Erika,internal
Scott,Bridget,client
Scott,Eugene,client
Joy,Eugene,training
Joy,Sean,client
Joy,Patricia,client
Amanda,Maria,training
Amanda,Danielle,client
Eugene,Christopher,training
Eugene,Maria,internal
Marie,Christopher,client
Christopher,Erika,client
Christopher,Kristi,training
Christopher,Sherri,internal
Kristi,Erika,internal
Sabrina,Alejandro,training
Sabrina,Katherine,training
Jamie,Dawn,training
Jamie,Alejandro,internal
Jamie,Julie,client
Jamie,Sean,client
Jamie,John,internal
Danielle,Erika,internal
Alejandro,Kelly,training
Bridget,Charles,training
Bridget,Sherri,training
Bridget,Erika,internal
Katherine,Sean,training
Katherine,Maria,client
Julie,Dawn,internal
Sherri,Darrell,client
Patricia,Kelly,client
Patricia,Dawn,training
Patricia,Sean,internal
Charles,Sean,client
John,Dawn,client
Maria,Erika,internal
Maria,Kelly,internal
Maria,Sean,internal
