"id","review","rating"
8,"My toy poodle loves this stuff and will let me  sort  of brush her teeth because of it.  I was hoping it would help with her doggy breath and it does some.  Interestingly... it says  peanutbutter  but it doesn't smell like peanutbutter.",4
22,"Used the whole jar and my dog still is eating his poop.  It was hard to get the dog to eat its food as they did not like the SEP in there foodIt's worth trying but it may not do the trick",1
25,"This Suet hanger is easy to open and easy to hang.it makes a great addition to my bird feeders. The green color blends with nature.",5
29,"We've owned a whole set of these for our dogs and cats; they've never broken, warped, or discolored in all the years we've had them. They stack great in pantries and feature a space for locks if you have an animal that may try to help themselves. They've survived beach trips, time outdoors, and one really naughty standard poodle pulling a full one to the floor. We've also used one to store extra cat litter and another wild bird seed.Their only bad feature is they are not air or water tight; they will keep food fresh for sure but not like an unopened bag. I'd recommend you be able to use any food in them within a month or two. If you have a dog with allergies to storage mites you will want to either wash these bins between bags or choose a bin that is air tight.",5
37,"My dogs veterinarian recommended that I try this product a few years ago.  I have been taking it ever since.I have had surgery twice on one knee and I had a lot of pain.  It took many months before I felt any difference at all, but eventually I noticed my knee was not hurting! What a relief!Now I can walk a few miles with no pain at all.  If I do get a little selling or stiff, I ice for 15 minutes, and just put on a salonpas patch and I am fine in 10 minutes.  Happy days...If my review helped you, can you please take a moment and click on the  helpful  button? Thanks! :)",4
118,"I love this litter box. I do not use the lids, and keep using the same receptacle until it tears or cracks. (Usually 3-4 months). I just dump it out a couple times a week. Makes these things last forever",4
126,"I have used these for years! Only 2 brands I would consider buying and this is one of them I buy!",5
129,"Really have only used one and assume the others will work as well as the one I have used.  Thanks!",5
134,"Great",5
147,"I purchased this product more for use for chronic ear infections in my two dogs as it stated on the label that it regulates and helps keep ears healthy.  It did not disappoint.  Both of my dogs, who usually get monthly ear infections, have been all clear and healthy since starting taking this product.  I just put the capsule directly in their food and they eat it with no problem.  I will continue to use to keep my dogs ears healthy and infection free.",4
161,"I would not give this to a chewer. One of my dogs loved this and played with it but the other...destructo girl got a hold of it and destroyed within mins. Soft plastic. Otherwise, great amusing product for dogs.",4
168,"I love the Wiggly Giggly, even though it lost it's giggle pretty quickly due to high playing usage, my dogs loved it and still take it out of the toy box!",5
169,"I bought this ball for my blind dog.  Unfortunately the sound is only sporadic so she still wasn't able to find it. Bummer",3
192,"I don't know how this guy is still around and yelling when the pugs have had him for about a month but he is. Very cute. I don't know if it sends the best kind've message to your dog, but darn cute and durable.",5
198,"Got this as a 'present' for my roommate's dog because her old toy was destroyed. Figured it'd be safe because my own dog is really particular about her toys, and so I'd only get one.That was a mistake. The instant I pulled the toy out both dogs wee enthralled, and are now engaged in a very long game of hide-and-seek/ keepaway. I'm pretty positive I will be ordering another monkey in the immediate future.The sock monkey version of this toy is a nice soft plush with that doesn't have 'long hair' or anything - it just feels like, well, a soft cotton sock. It's a good size and the limbs are different shapes/widths, which is great because that means dogs with any type of muzzle can pick it up and run with it.I highly recommend this to anyone who's looking for new all purpose puppy toys. We fetch, play tug of war and chase with this toy- it's brilliant!",5
202,"To heck with the dogs or cats!  I got this for myself to play with!  I press the belly and out comes OHHH NOOO.  Comes in handy on occasions to bring levity to ponderous situations, like the tax bill, marital debates, forgot to get something at the grocery store, an unexpected expense, lost Amazon order; you know all those life situations where you just need to bring humor into the situation.  We are enjoying using it in our household.  The cat, though, did bat at it, tried to run with it thinking it was his.  OHHH NOOOO, I said.  Not a lasting quality item, but a fun time.",4
203,"Great sturdy dog toy. They still love it!",5
205,"Dog loves it and it does give me flashbacks of  oh no  so far it has held up well so we will see",5
212,"So this is now the 4th Mr. Bill in the last 6 years. I think my dog has torn up 1 after about 1 year of having it and the other 2 have been killed via circumstances beyond my dog's control (one was mistakenly left outside and peed on...repeatedly, and the other was left at a coffee shop (but I think someone stole it). When I pulled Mr. Bill out of the box, my dog's face lit up like it was the best day ever and he carried it around crying and wiggling and making Mr. Bill say  OH NOOOOOOOOOOOOO . Its entertaining for the dog and definitely for us (we like to ask him questions and then hear Mr. Bill say  OH NOOOOOOOOOOOOOO ). He takes Mr. Bill to bed with him every night along with his teddy bear and spiderman ball and Mr. Bill has to go everywhere with us...along with his teddy bear and spiderman ball (the dog isn't spoiled at all). As long as Mr. Bill can be purchased, there will be one in the house.",5
213,"i bought this for my puppy, but my older dog loved it, too.  They have fun playing with this.  It is a nice size and pretty durable considering two dogs are chewing on it.",5
214,"My dogs both love the sock monkey.  They play with it all the time.  I all ready had to sew the arm back on so it really is not that sturdy.  My dogs are hard on all the toys they have so I am not surprised.",4
215,"This is the perfect size for a medium sized dog and so adorable.  Our dog loves the squeaking and chewing on the ears.  Very durable and a great price.",5
221,"This is her second Mr.Bill. She loved the first one, but eventually chewed open the back and removed the battery pack. The three button batteries are a definite hazard for pets, so I only let her play with Mr. Bill under supervision.",5
225,"my puppy loves mr.bill but despite all the 'oohhhhhhh,noooooooos'. mr bill has been hospitilized on several occassions. he recovers,returns to play & is soon back in hospital. we're were thinking of signing him up for the ACA but it's just too pricey",4
235,"This toy is carried around by our rescue Jack Russell and has not been ripped to pieces, we like to think it is because he thinks of it as a human and loves it. He has many because humans are not supposed to keep saying Oh No as it get on anyone's nerves even a dog.",5
236,"My husband and I thought this toy was hilarious, our dog thought it was terrifying.  Didn't stick around very long...",3
238,"My dog loves all things that squeak. This toy is especially entertaining bc when it says  oh no!  my dog brings it to me to  fix . It's funny to watch and the dog has a good time tossing Mr Bill around. It's surprisingly durable (it's still around and it's been about a month). Good fun!",5
241,"My little 3 pound maltese seems to like Mr Bill even tho, Mr Bill is almost bigger than him.  I only received Mr Bill today but it did not take my little pooch but a couple of minutes to bite Mr Bill's nose off.  Actually, I am glad he did it immediately and I noticed it immediately because he could have choked on it.  Seriously.  We pet owners love our animals and many of us love them like children and have little dogs that have to be watched carefully for hazardous items.  I strongly suggest when receiving Mr Bill, you go ahead and snip his nose off.  The nose on mine was on with one thread.  I am glad I ordered him as my dog likes it and funny to see him dragging around an item almost bigger than him.  Just keep in mine Mr Bill's nose.",3
242,"This toy is one of my Standard Poodle's favorites. She loves Mr. Bill and his mournful,  oh no.   She likes to carry Bill around and make him talk to her. It is well made and a good toy for SNL lovers.",4
244,"Average quality dog toy.  Got destroyed in a few weeks.  But my dog liked it while she had it.  Very average.",3
249,"This is a durable and soft plush doggie toy - The dogs have a small basket full of toys, but Lambchop is one of their fav's to pick out of the box and tussle around.Has a couple squeaker's - so if that drives you crazy you may want to consider something different.Lambchop has also been machine washed and dried in the dryer (on low temp) several times and survived just fine.I have even purchased them a replacement for when the old one does bite the dust, they will have another -",5
250,"Dogs really take to this dog toy, and anyone from the days when Saturday Night Live was new will remember Mr. Bill saying  Oh no!  whenever Sluggo was being mean.  The toy says that when squeezed in the middle.  Fun and well made!",5
258,"We have a chewer in the family so I knew this wouldn't last long. Fortunately, our dog was content for a while just playing catch with it and experimenting with what would set the sound sensor off. Eventually, she nabbed it and went into a chewing session and went straight for the battery compartment. However, we did know this isn't a chew toy. The battery lasted the four weeks until he was destroyed. We all had fun going around the house listening to Mr. Bill and his  oh no  cries. If they made a durable version of this I'd buy in a second.",5
263,"Bought this toy after reading some hilarious reviews and finding out that Mr Bill shouts  Oh nooooooo  when squeezed. My dog loves it. However, the stitching on Mr Bill's back came off after my dog's first play with him and this normally doesn't happen with her other plush toys. Not too big of an issue as we can sew it back up.",4
264,"Great toy for dogs, durable, long lasting battery.  Had one for about three years, still works, got one for my sister's dog.",5
272,"I love the kong.  We have agressive chewers and these last a lot longer then anything else.  Plus the price is very reasonable considering what local stores sell them for.",5
275,"My dog is very spoiled ans has access to 20++  babies ...this Kong Teddy Bear is always on his bed or near on the floor. I put it back in his bin and less that 24 hours later there is the Teddy Bear! Very soft, strong build quality (he has used it for over 6 months; 70lb German Sheppard/Doberman and  plays  with his  babies ). I highly recommend this product as a cost-effective toy that, for my dog at least, is a must-have on a daily basis. As I type he is laying with it on his bed!",5
